,state,year,prisoner_count,state_population,year_state
480,MASSACHUSETTS,2010.0,11162.0,6555466,2010_MASSACHUSETTS
481,MICHIGAN,2010.0,44113.0,9877143,2010_MICHIGAN
482,MINNESOTA,2010.0,9397.0,5310658,2010_MINNESOTA
483,MISSISSIPPI,2010.0,16454.0,2970072,2010_MISSISSIPPI
484,MISSOURI,2010.0,30577.0,5995715,2010_MISSOURI
485,MONTANA,2010.0,3137.0,990958,2010_MONTANA
486,NEBRASKA,2010.0,4608.0,1830141,2010_NEBRASKA
487,NEVADA,2010.0,12192.0,2704283,2010_NEVADA
488,NEW HAMPSHIRE,2010.0,2617.0,1316807,2010_NEW HAMPSHIRE
489,NEW JERSEY,2010.0,24488.0,8799593,2010_NEW JERSEY
490,NEW MEXICO,2010.0,6659.0,2065913,2010_NEW MEXICO
491,NEW YORK,2010.0,56420.0,19395206,2010_NEW YORK
492,NORTH CAROLINA,2010.0,40375.0,9560234,2010_NORTH CAROLINA
493,NORTH DAKOTA,2010.0,1416.0,674629,2010_NORTH DAKOTA
494,OHIO,2010.0,51709.0,11537968,2010_OHIO
495,OKLAHOMA,2010.0,24147.0,3760184,2010_OKLAHOMA
496,OREGON,2010.0,13859.0,3838332,2010_OREGON
497,PENNSYLVANIA,2010.0,48087.0,12717722,2010_PENNSYLVANIA
498,RHODE ISLAND,2010.0,3159.0,1052528,2010_RHODE ISLAND
499,SOUTH CAROLINA,2010.0,23009.0,4637106,2010_SOUTH CAROLINA
500,SOUTH DAKOTA,2010.0,3393.0,816598,2010_SOUTH DAKOTA
501,TENNESSEE,2010.0,20037.0,6357436,2010_TENNESSEE
502,TEXAS,2010.0,160242.0,25253466,2010_TEXAS
503,UTAH,2010.0,5442.0,2775479,2010_UTAH
504,VERMONT,2010.0,2079.0,625909,2010_VERMONT
505,VIRGINIA,2010.0,31911.0,8023953,2010_VIRGINIA
506,WASHINGTON,2010.0,17028.0,6742950,2010_WASHINGTON
507,WEST VIRGINIA,2010.0,5072.0,1854368,2010_WEST VIRGINIA
508,WISCONSIN,2010.0,22033.0,5691659,2010_WISCONSIN
509,WYOMING,2010.0,2092.0,564554,2010_WYOMING
511,ALABAMA,2011.0,26813.0,4803689,2011_ALABAMA
512,ALASKA,2011.0,6216.0,723860,2011_ALASKA
513,ARIZONA,2011.0,39949.0,6467315,2011_ARIZONA
514,ARKANSAS,2011.0,14090.0,2938582,2011_ARKANSAS
515,CALIFORNIA,2011.0,147578.0,37683933,2011_CALIFORNIA
516,COLORADO,2011.0,21862.0,5116302,2011_COLORADO
517,CONNECTICUT,2011.0,17877.0,3586717,2011_CONNECTICUT
518,DELAWARE,2011.0,6546.0,908137,2011_DELAWARE
519,FLORIDA,2011.0,100861.0,19082262,2011_FLORIDA
520,GEORGIA,2011.0,52844.0,9812460,2011_GEORGIA
521,HAWAII,2011.0,5454.0,1378129,2011_HAWAII
522,IDAHO,2011.0,7470.0,1583744,2011_IDAHO
523,ILLINOIS,2011.0,48427.0,12859752,2011_ILLINOIS
524,INDIANA,2011.0,27402.0,6516353,2011_INDIANA
525,IOWA,2011.0,9115.0,3064097,2011_IOWA
526,KANSAS,2011.0,9330.0,2870386,2011_KANSAS
527,KENTUCKY,2011.0,14001.0,4366814,2011_KENTUCKY
528,LOUISIANA,2011.0,18844.0,4574766,2011_LOUISIANA
529,MAINE,2011.0,1978.0,1328544,2011_MAINE
530,MARYLAND,2011.0,23001.0,5839572,2011_MARYLAND
531,MASSACHUSETTS,2011.0,11467.0,6607003,2011_MASSACHUSETTS
532,MICHIGAN,2011.0,42904.0,9876801,2011_MICHIGAN
533,MINNESOTA,2011.0,9309.0,5347299,2011_MINNESOTA
534,MISSISSIPPI,2011.0,15390.0,2977457,2011_MISSISSIPPI
535,MISSOURI,2011.0,30969.0,6008984,2011_MISSOURI
536,MONTANA,2011.0,3125.0,997667,2011_MONTANA
537,NEBRASKA,2011.0,4657.0,1842234,2011_NEBRASKA
538,NEVADA,2011.0,12159.0,2720028,2011_NEVADA
539,NEW HAMPSHIRE,2011.0,2423.0,1317807,2011_NEW HAMPSHIRE
540,NEW JERSEY,2011.0,23642.0,8834773,2011_NEW JERSEY
541,NEW MEXICO,2011.0,6687.0,2078674,2011_NEW MEXICO
542,NEW YORK,2011.0,55196.0,19501616,2011_NEW YORK
543,NORTH CAROLINA,2011.0,39662.0,9651103,2011_NORTH CAROLINA
544,NORTH DAKOTA,2011.0,1385.0,684740,2011_NORTH DAKOTA
545,OHIO,2011.0,50961.0,11541007,2011_OHIO
546,OKLAHOMA,2011.0,23750.0,3784163,2011_OKLAHOMA
547,OREGON,2011.0,13728.0,3868229,2011_OREGON
548,PENNSYLVANIA,2011.0,49710.0,12743948,2011_PENNSYLVANIA
549,RHODE ISLAND,2011.0,3032.0,1050646,2011_RHODE ISLAND
550,SOUTH CAROLINA,2011.0,22363.0,4673348,2011_SOUTH CAROLINA
551,SOUTH DAKOTA,2011.0,3562.0,823593,2011_SOUTH DAKOTA
552,TENNESSEE,2011.0,19831.0,6399787,2011_TENNESSEE
553,TEXAS,2011.0,159956.0,25631778,2011_TEXAS
554,UTAH,2011.0,5294.0,2814347,2011_UTAH
555,VERMONT,2011.0,2053.0,626592,2011_VERMONT
556,VIRGINIA,2011.0,30531.0,8104384,2011_VIRGINIA
557,WASHINGTON,2011.0,17109.0,6823267,2011_WASHINGTON
558,WEST VIRGINIA,2011.0,5149.0,1854908,2011_WEST VIRGINIA
559,WISCONSIN,2011.0,22388.0,5709843,2011_WISCONSIN
560,WYOMING,2011.0,2162.0,567356,2011_WYOMING
562,ALABAMA,2012.0,26768.0,4817528,2012_ALABAMA
563,ALASKA,2012.0,6308.0,730307,2012_ALASKA
564,ARIZONA,2012.0,40013.0,6551149,2012_ARIZONA
565,ARKANSAS,2012.0,14043.0,2949828,2012_ARKANSAS
566,CALIFORNIA,2012.0,132935.0,37999878,2012_CALIFORNIA
567,COLORADO,2012.0,20328.0,5189458,2012_COLORADO
568,CONNECTICUT,2012.0,17164.0,3591765,2012_CONNECTICUT
569,DELAWARE,2012.0,6730.0,917053,2012_DELAWARE
570,FLORIDA,2012.0,99835.0,19320749,2012_FLORIDA
571,GEORGIA,2012.0,55178.0,9915646,2012_GEORGIA
572,HAWAII,2012.0,5297.0,1390090,2012_HAWAII
573,IDAHO,2012.0,7715.0,1595590,2012_IDAHO
574,ILLINOIS,2012.0,49348.0,12868192,2012_ILLINOIS
575,INDIANA,2012.0,28034.0,6537782,2012_INDIANA
576,IOWA,2012.0,8735.0,3075039,2012_IOWA
577,KANSAS,2012.0,9505.0,2885398,2012_KANSAS
578,KENTUCKY,2012.0,12998.0,4379730,2012_KENTUCKY
579,LOUISIANA,2012.0,18601.0,4602134,2012_LOUISIANA
580,MAINE,2012.0,1977.0,1328501,2012_MAINE
581,MARYLAND,2012.0,21810.0,5884868,2012_MARYLAND
582,MASSACHUSETTS,2012.0,11127.0,6645303,2012_MASSACHUSETTS
583,MICHIGAN,2012.0,43594.0,9882519,2012_MICHIGAN
584,MINNESOTA,2012.0,9421.0,5379646,2012_MINNESOTA
